name,link,score,location,date,state,city,address,map links,views,likes,cLink,cust_Score,num_Revs
Trattoria La Sorrentina,https://onebite.app/restaurant/trattoria-la-sorrentina-north-bergen-nj-36b653fa/review/b02d6778-c0c9-4e1b-acc9-73f28a28ab06,7.5,"North Bergen, NJ",2020-11-27 20:45:16.827840,NJ,North Bergen,"7831 Bergenline Ave, North Bergen, NJ",https://google.com/maps/dir/?api=1&destination=Trattoria%2BLa%2BSorrentina%2C%2B7831%2BBergenline%2BAve%2C%2BNorth%2BBergen%2C%2BNJ%2C%2B07047,3216,217,https://onebite.app/restaurant/trattoria-la-sorrentina-north-bergen-nj-36b653fa,8.1,15.0
Cesare's Ristorante,https://onebite.app/restaurant/cesares-ristorante-bristol-pa-6078fd0d/review/a7bf5138-6274-4c64-8463-c922157abddc,8.1,"Bristol, PA",2020-11-25 20:45:16.827840,PA,Bristol,"1407 Radcliffe St, Bristol, PA",https://google.com/maps/dir/?api=1&destination=Cesare's%2BRistorante%2C%2B1407%2BRadcliffe%2BSt%2C%2BBristol%2C%2BPA%2C%2B19007,3743,191,https://onebite.app/restaurant/cesares-ristorante-bristol-pa-6078fd0d,8.2,35.0
Tony & Joe's Pizzeria,https://onebite.app/restaurant/tony-and-joes-pizzeria-conshohocken-pa-483dd65d/review/5e2ab654-eb1f-4de5-82e1-783f7010be00,7.3,"Conshohocken, PA",2020-11-24 20:45:16.827840,PA,Conshohocken,"201 Fayette St, Conshohocken, PA",https://google.com/maps/dir/?api=1&destination=Tony%2B%26%2BJoe's%2BPizzeria%2C%2B201%2BFayette%2BSt%2C%2BConshohocken%2C%2BPA%2C%2B19428,5142,254,https://onebite.app/restaurant/tony-and-joes-pizzeria-conshohocken-pa-483dd65d,7.5,27.0
Campus Corner Pizza,https://onebite.app/restaurant/campus-corner-pizza-villanova-pa-d78abed4/review/3923849b-4726-4d3f-b7c6-8b2c369ebb0b,6.9,"Villanova, PA",2020-11-23 20:45:16.827840,PA,Villanova,"829 E Lancaster Ave, Villanova, PA",https://google.com/maps/dir/?api=1&destination=Campus%2BCorner%2BPizza%2C%2B829%2BE%2BLancaster%2BAve%2C%2BVillanova%2C%2BPA%2C%2B19085,3829,191,https://onebite.app/restaurant/campus-corner-pizza-villanova-pa-d78abed4,6.9,21.0
Randazzo's Pizzeria,https://onebite.app/restaurant/randazzos-pizzeria-philadelphia-pa-fd0b7b42/review/27a41e3d-acdd-4231-8b05-20cb5667ab2a,7.4,"Philadelphia, PA",2020-11-19 23:00:00.000000,PA,Philadelphia,"1826 S St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Randazzo's%2BPizzeria%2C%2B1826%2BS%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19146,5709,278,https://onebite.app/restaurant/randazzos-pizzeria-philadelphia-pa-fd0b7b42,7.0,8.0
Philly Style Pizza and Grill...,https://onebite.app/restaurant/philly-style-pizza-and-grille-philadelphia-pa-adec96cf/review/5611e22c-df80-467a-a818-d3c4e7091df5,6.8,"Philadelphia, PA",2020-11-18 23:00:00.000000,PA,Philadelphia,"2010 N Broad St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Philly%2BStyle%2BPizza%2Band%2BGrille%2C%2B2010%2BN%2BBroad%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19121,5245,307,https://onebite.app/restaurant/philly-style-pizza-and-grille-philadelphia-pa-adec96cf,6.7,15.0
Tonelli's Takeout,https://onebite.app/restaurant/tonellis-takeout-lafayette-hill-pa-5dc0431d/review/d425f40c-a686-4904-8eb6-736f186586fe,6.6,"Lafayette Hill, PA",2020-11-17 23:00:00.000000,PA,Lafayette Hill,"435 Germantown Pike, Lafayette Hill, PA",https://google.com/maps/dir/?api=1&destination=Tonelli's%2BTakeout%2C%2B435%2BGermantown%2BPike%2C%2BLafayette%2BHill%2C%2BPA%2C%2B19444,4926,480,https://onebite.app/restaurant/tonellis-takeout-lafayette-hill-pa-5dc0431d,7.1,8.0
Café Carmela,https://onebite.app/restaurant/cafe-carmela-philadelphia-pa-858aa80f/review/4668bb73-c1c5-4d4e-ae8f-406c5834252e,7.3,"Philadelphia, PA",2020-11-16 23:00:00.000000,PA,Philadelphia,"2859 Holme Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Caf%C3%A9%2BCarmela%2C%2B2859%2BHolme%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19152,4718,334,https://onebite.app/restaurant/cafe-carmela-philadelphia-pa-858aa80f,8.4,23.0
Charlie's Pizzeria,https://onebite.app/restaurant/charlies-pizzeria-philadelphia-pa-2fe98eba/review/84bfe670-9c2e-4694-b763-878abd8bff7a,7.6,"Philadelphia, PA",2020-11-12 23:00:00.000000,PA,Philadelphia,"4300 Roosevelt Blvd, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Charlie's%2BPizzeria%2C%2B4300%2BRoosevelt%2BBlvd%2C%2BPhiladelphia%2C%2BPA%2C%2B19124,5101,398,https://onebite.app/restaurant/charlies-pizzeria-philadelphia-pa-2fe98eba,8.7,31.0
Franzone's Pizzeria & Restau...,https://onebite.app/restaurant/franzones-pizzeria-and-restaurant-philadelphia-pa-16297485/review/ec44d819-a0d8-4a87-8305-cb5c5a7db752,7.4,"Philadelphia, PA",2020-11-11 23:00:00.000000,PA,Philadelphia,"114 Levering St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Franzone's%2BPizzeria%2B%26%2BRestaurant%2C%2B114%2BLevering%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19127,5277,317,https://onebite.app/restaurant/franzones-pizzeria-and-restaurant-philadelphia-pa-16297485,6.7,27.0
